input,output
top 5 scorers in 2023,"SELECT p.player_name, ps.pts FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22022 ORDER BY ps.pts DESC LIMIT 5;"
top 10 scorers in 2022,"SELECT p.player_name, ps.pts FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22021 ORDER BY ps.pts DESC LIMIT 10;"
top 5 rebounders in 2021,"SELECT p.player_name, ps.reb FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22020 ORDER BY ps.reb DESC LIMIT 5;"
top 10 rebounders in 2020,"SELECT p.player_name, ps.reb FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22019 ORDER BY ps.reb DESC LIMIT 10;"
top 5 assist leaders in 2019,"SELECT p.player_name, ps.ast FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22018 ORDER BY ps.ast DESC LIMIT 5;"
top 3 players by steals in 2018,"SELECT p.player_name, pg.stl FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22017 ORDER BY pg.stl DESC LIMIT 3;"
top 5 shot blockers in 2017,"SELECT p.player_name, pg.blk FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22016 ORDER BY pg.blk DESC LIMIT 5;"
top 10 players by total points in 2016,"SELECT p.player_name, pg.pts FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22015 ORDER BY pg.pts DESC LIMIT 10;"
top 5 players by field goal percentage in 2015,"SELECT p.player_name, pg.fg_pct FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22014 AND pg.fga >= 100 ORDER BY pg.fg_pct DESC LIMIT 5;"
top 5 three point shooters in 2014,"SELECT p.player_name, pg.fg3_pct FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22013 AND pg.fg3a >= 50 ORDER BY pg.fg3_pct DESC LIMIT 5;"
top 5 players by free throw percentage in 2013,"SELECT p.player_name, pg.ft_pct FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22012 AND pg.fta >= 50 ORDER BY pg.ft_pct DESC LIMIT 5;"
top 10 players by plus minus in 2012,"SELECT p.player_name, pg.plus_minus FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22011 ORDER BY pg.plus_minus DESC LIMIT 10;"
top 5 players by minutes played in 2011,"SELECT p.player_name, pg.min FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22010 ORDER BY pg.min DESC LIMIT 5;"
top 5 players by offensive rebounds in 2010,"SELECT p.player_name, pg.oreb FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22009 ORDER BY pg.oreb DESC LIMIT 5;"
top 5 players by defensive rebounds in 2009,"SELECT p.player_name, pg.dreb FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22008 ORDER BY pg.dreb DESC LIMIT 5;"
top 5 players by turnovers in 2008,"SELECT p.player_name, pg.tov FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22007 ORDER BY pg.tov DESC LIMIT 5;"
top 5 players by fouls in 2007,"SELECT p.player_name, pg.pf FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22006 ORDER BY pg.pf DESC LIMIT 5;"
top 5 players by games played in 2006,"SELECT p.player_name, pg.gp FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22005 ORDER BY pg.gp DESC LIMIT 5;"
top 5 players by three pointers made in 2005,"SELECT p.player_name, pg.fg3m FROM player p JOIN player_general_traditional_total pg ON p.player_id = pg.player_id WHERE pg.season_id = 22004 ORDER BY pg.fg3m DESC LIMIT 5;"
top 5 players by true shooting percentage in 2023,"SELECT p.player_name, ps.ts_pct FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22022 AND ps.gp >= 20 ORDER BY ps.ts_pct DESC LIMIT 5;"
top 5 players by usage rate in 2022,"SELECT p.player_name, ps.usg_pct FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22021 AND ps.gp >= 20 ORDER BY ps.usg_pct DESC LIMIT 5;"
top 5 players by net rating in 2021,"SELECT p.player_name, ps.net_rating FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22020 AND ps.gp >= 20 ORDER BY ps.net_rating DESC LIMIT 5;"
top 5 players by assist percentage in 2020,"SELECT p.player_name, ps.ast_pct FROM player p JOIN player_season ps ON p.player_id = ps.player_id WHERE ps.season_id = 22019 AND ps.gp >= 20 ORDER BY ps.ast_pct DESC LIMIT 5;"
